session_id,min,max,duration_seconds
00001861-663c-42a3-a736-d50309e7bc46,2025-01-02 02:23:00,2025-01-02 02:28:37.000000,337.0
0000f4c4-ac6c-4c97-8e23-43cac8a29f3d,2025-01-02 21:06:01,2025-01-02 21:07:25.000000,84.0
00013ce1-60ce-479f-b807-6ea4e09400ec,2025-01-02 05:37:50,2025-01-02 05:47:21.000000,571.0
0002cdd9-6285-4910-b11a-124874d13ede,2025-01-01 16:01:58,2025-01-01 16:03:52.000000,114.0
0003f980-10b9-4c6a-9990-b50be90ef866,2025-01-01 02:03:37,2025-01-01 02:03:37.000000,0.0
0004d48d-2ba4-46cb-9217-e95f8f20964d,2025-01-05 18:09:42,2025-01-05 18:09:42.000000,0.0
0004ec73-f782-46e4-b979-c2647d9955aa,2025-01-04 01:48:52,2025-01-04 01:52:34.000000,222.0
00067594-3959-4e3f-9531-21edb0e65de8,2025-01-05 01:44:21,2025-01-05 01:53:27.000000,546.0
00089eba-036a-4404-895e-f6e90e89eb5a,2025-01-05 21:58:34,2025-01-05 22:01:58.000000,204.0
000af52b-6cce-4744-8898-7aa3eeb4f1b5,2025-01-01 22:44:40,2025-01-01 22:48:01.000000,201.0
000c30f7-fb73-4dbb-9743-8ffea254fd6e,2025-01-03 01:59:44,2025-01-03 02:04:01.000000,257.0
000cf179-2d15-4aec-9230-872a88c64d45,2025-01-04 09:28:50,2025-01-04 09:28:50.000000,0.0
000e20bd-494e-4076-8709-5abd30ce6e65,2025-01-06 20:38:30,2025-01-06 20:41:10.000000,160.0
000eb922-93ec-4753-b689-bc15b7cca3c6,2025-01-05 17:11:14,2025-01-05 17:11:14.000000,0.0
00106df8-8886-49bb-bcfb-f2d1be143ea0,2025-01-01 04:02:32,2025-01-01 04:04:05.000000,93.0
0012e64c-ead1-4a4f-9c49-3fdf02cec9fc,2025-01-03 07:51:18,2025-01-03 07:52:37.000000,79.0
00147f3e-60f1-4a57-b0b4-e11e6b717012,2025-01-02 18:12:00,2025-01-02 18:15:05.000000,185.0
0017a986-8271-4574-a547-546d4f7a3233,2025-01-04 01:26:35,2025-01-04 01:26:35.000000,0.0
00180d45-1ce9-45bc-b0cb-15de1d2bd872,2025-01-04 18:53:12,2025-01-04 18:57:46.000000,274.0
0018539f-bf8f-40b4-9bd5-3229785386dd,2025-01-06 15:16:48,2025-01-06 15:21:41.000000,293.0
0018f500-66d5-4d25-8ff4-c3d6b121d8ba,2025-01-06 13:18:42,2025-01-06 13:18:42.000000,0.0
001a14c6-2a4a-4aeb-8601-1753d959ba7d,2025-01-03 00:05:39,2025-01-03 00:07:53.000000,134.0
001accf0-f541-44f7-bd85-1e7e39453ec4,2025-01-02 06:35:44,2025-01-02 06:35:44.000000,0.0
001d6a6d-a162-4d1f-9b2d-52eac7a3dfb3,2025-01-05 15:00:51,2025-01-05 15:00:51.000000,0.0
001d88b5-0ad9-4737-8309-2d9f8296a6b8,2025-01-02 19:28:36,2025-01-02 19:30:11.000000,95.0
001f28aa-8192-420c-81e9-18a496559fee,2025-01-04 02:04:05,2025-01-04 02:06:05.000000,120.0
00206e41-f568-491d-ae2d-182c81a11009,2025-01-03 16:28:34,2025-01-03 16:36:22.000000,468.0
0023e750-729a-4ea8-a4c6-3103198e19d0,2025-01-05 05:06:30,2025-01-05 05:13:12.000000,402.0
00261f12-b474-4853-9b13-17af5b4a527c,2025-01-05 01:13:51,2025-01-05 01:13:51.000000,0.0
002762e6-1314-45e7-b2c4-0370a2fa9f06,2025-01-05 00:46:35,2025-01-05 00:50:18.000000,223.0
